sentence,eyewitnessed
Alberta awakes to more rain as flood crests near http://t.co/EjLryIJBEF #yeg,NotEyewitness
"Straight from @nenshi , to ALL Calgarians: Avoid ALL Travel that is not absolutely necessary #Calgary #abflood",NotEyewitness
"RT @FineDinerYYC: Apologies friends but, we will be closed today. Inglewood is shut down. #yycflood",NotEyewitness
"RT @Greenpeace: Heavy flooding in Canada may force 100,000 people to leave their homes: http://t.co/Xl2LaXTC5W #ClimateChange",NotEyewitness
Unreal situation with all the flooding in Calgary. Grateful that my home is safe.,Eyewitness
RT @RosaHwangCTV: Stunning images from the #YYCFlood zone: http://t.co/uKYdGgHLt2 #Calgary,NotEyewitness
RT @cityofcalgary: For mandatory evacuation information including locations and maps check here regularly: http://t.co/aDxK0wsErR #yycflood,NotEyewitness
"RT @TPM: PHOTO: Extreme flooding in Canada may force 100,000 from homes today. This man swims after his cat: http://t.co/0smvIEahzN",Eyewitness
RT @buzzbishop: This Is NOT how you win friends. #wtf #yycflood MT @CalgaryParking: regular parking rates are in effect today.,NotEyewitness
"RT @canadogreg: Must see flooding pic from High River, AB RT @NatashaChiam: RT @tracyohn: High River #abstorm #abflood http://t.co/x80e0Uv8…",Eyewitness
WATCH: House floats down river during Alberta flood http://t.co/0Z6r47EKDy,NotEyewitness
RT @yuppielove: OMG! “@aimeedodge: @EmilyMcTeer “@KB_Dutch: #yyccc #yycflood corner of 17 and Macleod  @ 6:30 am June 21.http://t.co/lo8cLX…,Eyewitness
"RT @calgaryherald: Stay away from downtown, says #yyc mayor. Latest news here: http://t.co/ktTk48cQKo #yycflood Stay informed for free.",NotEyewitness
RT @YahooNews: WATCH: House washed away by flooding river in southern Canada crashes into bridge http://t.co/AxCm5S8N7o,NotEyewitness
Praying for Alberta. #flooding,NotEyewitness
To all my friends in Calgary &amp; Alberta. Stay dry! City remains on flood alert from rising rivers  http://t.co/poirfkcrLN via @CTVCalgary,NotEyewitness
Has there been any reported deaths as a result of the floods? #abflood #yyc,NotEyewitness
Alberta floods: How did it happen?  ...   http://t.co/7SnQIHQ4UN via @weathernetwork,NotEyewitness
RT @MariekeWalsh: Wow! RT @cmaconthehill: RT “@660News: Stunning! RT @TriVestWealth What was once Memorial Drive. #yycflood http://t.co/eht…,Eyewitness
RT @weathernetwork: RT @pahnita: Panorama of the city from Scotsman's hill. #yycflood http://t.co/kFOn4BRChW,NotEyewitness
Somewhat positive note: I now have a badass story to tell my grand kids while I'm hanging in the old folks home. #AbFlood,Eyewitness
Flooding from extreme rainfall is a hazard for ON too. Emergency in #Alberta should be a call to get a 72 hour kit. Better to be prepared.,NotEyewitness
@cityofcalgary my Discovery Ridge home is dry :D my waterfront condo isn't ;( #yycflood,Eyewitness
The Bow from our deck! She's not happy! #yycflooding http://t.co/nEkqkigkH9,Eyewitness
Widespred flooding in alberta. No school,NotEyewitness
RT @FarahDhalla: #calgarians say this is #INSANE. Taking pics of the river waters down #Macleod TR. @weathernetwork #abflood http://t.co/yE…,NotEyewitness
RT @PaulaTrotter: Oh my gosh! My sister just sent me this pic of MacLeod at 9th Ave SE. Insane. #yycflood #downtownyyc #abflood http://t.co…,Eyewitness
"#yycflood reporters: when you come to the next pressr, cd ya bring some ibuprofen? Cluster of your competitors will pay all our dollars",Eyewitness
"RT @littlemissmocha: RT @seamusoregan: BREAKING: 1,200 troops being deployed to help with flooding in Alberta. @CTVNews",NotEyewitness
RT @kendraoh: Never seen the city this bad! ... Macleod on 17th. Stay safe everyone.     #yycflood http://t.co/DXAypBfPF9,Eyewitness
RT @calgarysun: You may want to AVOID Deerfoot Tr. The Calf Robe Bridge is closed #yyc #abflood,NotEyewitness
Oh my! So close to me! “@ShaneKeller: Humpty's on McLeod Trail underwater #yycflood #yyc #photo http://t.co/odOUNE46LK”,Eyewitness
RT @calgaryherald: ALERT via @cityofcalgary: Calf Robe Bridge CLOSED. Be careful and drive safely. #yycflood #CHlive  Free news today http:…,NotEyewitness
Our thoughts are with the residents of all the affected neighborhoods in the Alberta flooding. #yycflood #abflood,NotEyewitness
This bridge is only a few blocks away from my family's place in #Calgary! Such crazy flooding. Stay safe everyone! https://t.co/RpwdCnhV4t,Eyewitness
Serious amounts of flooding and evacuations of several neighborhoods taking place throughout Calgary. http://t.co/2m0ek7Y0l7,NotEyewitness
RT @CstShaw: All #yyc schools are closed tomorrow and we are asking all people to avoid coming into the downtown core if possible. #yycflood,NotEyewitness
Watching footage of the #yycflood crazy stuff. Stay safe Calgary. Red Cross donations are being accepted for anyone interested.,NotEyewitness
RT @mapsgirl: Show your support to people affected by Alberta floods by donating to @redcrosscanada: http://t.co/Tu8XgEgUtW #abflood Pls RT…,NotEyewitness
"RT @WaterPortal: RT @berkleyroth A dirt berm on the Elbow River broke in the Mission neighborhood of Calgary, flooding the Safeway.  #yyc #…",NotEyewitness
RT @SimonOstler: Calgary RT @CTVStephBrennan: This is Riverfront Avenue http://t.co/tBG5AjzFw4  #yycflood,NotEyewitness
Family is safe and I have a full box of Yorkshire Tea. #readyforanything #yycflood,Eyewitness
RT @bingofuel: Any organizations doubting the usefulness and benefit of social media today clearly aren't aware of #abflood,Eyewitness
"RT @robotpilot: RT @DonC_Twit: Seriously, the http://t.co/B1ilePlgtU doodle could not be more unfortunate today #yycflood #abflood #fail #d…",NotEyewitness
RT @sarfoss: RT @sjrtitan: #yycflood help is on full force and coming http://t.co/H8i0VpT17L #SMEM and there go the troops #abfloods,NotEyewitness
What I didn't think about when leaving yesterday - electricity shut off...goodbye food in fridge and freezer #yycflood #mission,Eyewitness
"So much water in the streets that I walk every day in downtown. By the looks of it, I'm sure my school flooded 😖 #yycflood",Eyewitness
RT @teedot: A picture from downtown Calgary this morning #yyc #abflood http://t.co/OUCx4JPNuq,Eyewitness
RT @crudereporter: I can smell gas as Calgary's hazmat response team arrives at the federal govts Harry Hays building #yycfloods http://t.c…,NotEyewitness
"In times of crisis people are judges by how they react. Albertans are the most patient,and supportive people in the world. #yycflood",NotEyewitness
#Latest #News Flooding May Force 100000 From West Canada Homes - ABC News: ABC NewsFlooding May Force 1... http://t.co/bSKpPKM0fu #BNews,NotEyewitness
RT @ArleneDickinson: This. Is. McLeod. Trail.  OMG.  #yycflood http://t.co/pymywKvHRA,Eyewitness
RT @CalgaryPolice: Power has been shut off in evacuated communities for the safety of citizens and first responders. #yycflood,NotEyewitness
The pics of #calgaryflood are nuts! Thoughts are with the thousands affected. #yycflood,NotEyewitness
"On hour 28, you get a 2nd wind. - @nenshi. Sending so such love to all 1st responders &amp; city workers working on the #yycflood.",Eyewitness
"RT @findingcam: Elbow falls in Calgary,Canada pre flood and now a few hours ago. Stay safe Calgary via @chadmsaunders #calgaryflood http://…",NotEyewitness
RT @weathernetwork: RT @KB_Dutch #yycflood corner of 17 and Macleod  @ 6:30 am June 21.  Welcome to the first day of summer. http://t.co/l9…,NotEyewitness
"RT @GlobalCalgary: Calgary flooding puts police in Twitter jail, crashes city website: http://t.co/QnIEPLLDaR #yycflood",NotEyewitness
The flood in Calgary is a lot more serious than we're led to believe. They are just sandbagging.,NotEyewitness
RT @BridgingFoxes: Army trucks on the roll #reddeer #costco Prayers for those helping #abflood http://t.co/FsnCVrZ7s3,NotEyewitness
"RT @iainilich: Despite #yycflood mayhem, @Shawhelp repair guy arrived on time to replace flaky PVR. Thanks!",Eyewitness
RT @Crackmacs: You'd never know its flooding mere blocks from us. Looking east on 6th ave sw #yyc #yycflood http://t.co/nf5zoFA5TX,Eyewitness
RT @cfhorgan: here's a shot of 1 ST SE this morning #yycflood http://t.co/6aS0xwJjI0,Eyewitness
RT @KathrynMombo: Thoughts and prayers are with everyone affected by the floods! #StaySafe! #abflood,NotEyewitness
"RT @buzzbishop: Saddledome flooded to row 10. Dressing rooms destroyed. #yyc #yycflood So, about that new rink?",Eyewitness
"RT @JamieNiessen: 75,000 evacuated, only 1,500 in shelters. that's my calgary #yycflood",Eyewitness
RT @TheoFleury14: BREAKING: Water is up to row 10 at Saddledome. Dressing rooms completely submerged. #yycflood #NHL”,Eyewitness
RT @cityofcalgary: ATTN: The upper deck of the Centre St. Bridge is CLOSED. #yycflood,NotEyewitness
"RT @FarmLead: Devastating. Eerily similar-looking to '97 MB flood RT @StephHansenFM: Arial view of High River, AB. Wow. #abflood http://t.c…",Eyewitness
RT @dinnerwithjulie: Amazing panoramic shot from Scotsman's hill right now. #yycflood http://t.co/T2yIbXuLQo,Eyewitness
Oh dear RT @TheoFleury14: BREAKING: Water is up to row 10 at Saddledome. Dressing rooms completely submerged. #yycflood #NHL”,Eyewitness
RT @Mookalicious: Here's what parts of Calgary look like right now.  We are all crushed with the images but we are strong!!  #abflood http:…,Eyewitness
RT @AHS_media: City of Calgary NOT under boil water order. #yyc #abflood,NotEyewitness
RT @jasonthistle: Just incredible RT @chmelle: RT @irisheagle High River RT @StephHansenFM: Arial view of High River. Wow. #abflood http://…,NotEyewitness
"@MargotMicallef OMG, Margot, this looks and sounds terrible. My thoughts are with you and all the people affected by the #ABflood",NotEyewitness
Stay safe and dry today Calgary. #abflood,NotEyewitness
"RT @esther_madziya: Wow, shocking to see the flood waters in downtown Calgary. #yycflood http://t.co/OTuJfpevnv",Eyewitness
RT @FletJan: Alberta premier warns of downstream floods to come http://t.co/1GBLP4THch #AB #environment #flood #disaster #cdnpoli,NotEyewitness
"RT @MadelnCanada: Stay safe, Alberta. #abflood #yycflood",NotEyewitness
RT @jody_macpherson: Want to help out? A crowdsourced page of ways you can help Clean up Calgary https://t.co/0J5oCgpGXh #yyc #yycflood #ab…,NotEyewitness
"RT @earthskyscience: Flood waters expected to peak around noon (local time) today in Alberta, Canada.  http://t.co/dYqQERzieE",NotEyewitness
RT @CBCAlerts: Harper en route to Calgary to tour flood damage   . Will accompany Alberta Premier Redford #abflood #cdnpoli,NotEyewitness
RT @JeffStokoe: Water flowing over spillway at the Dickson  dam #ABFlood #reddeer river @RedDeerAdvocate http://t.co/kgeqMS5W5F,Eyewitness
RT @Mookalicious: Please say a little prayer for our friends at The Calgary Stampede!  They could use it! #abflood http://t.co/0MrRYzNLoJ,NotEyewitness
RT @weathernetwork: Police cruiser abandoned off Memorial Drive in #yyc. Photo by Brigette Jobin #yycflood http://t.co/K2ePD3GgHK,NotEyewitness
"Drop-in has evacuated to: 4804 EdmTrail NE, need pillows and blankets!! @GlobalCalgary @CTVCalgary #yychelps #yycfloods",NotEyewitness
RT @EricFrancis: So much history destroyed at the Dome including massive championship team photo from 1989 signed by most players. #yycflood,Eyewitness
RT @EricFrancis: Nashville North and Dome flooded RT @dinnerwithjulie: View of the Saddledome at 9am from @studioama1 #yycflood http://t.co…,NotEyewitness
RT @Hot__Springs: Flood waters from Cougar Creek continue to wreck havoc along its banks! http://t.co/BMIvD2oeeq #abflood #abstorm #canmore,NotEyewitness
RT @IrishEagle: @weathernetwork Before/After Downtown Calgary. 9th Ave SE at 4th St #yycflood #yyc via @AlainDupere: http://t.co/TqSYmHOtdj,NotEyewitness
"RT @claudlemire: The upside of tragedy, the many acts of kindness #yycflood #abflood http://t.co/Cfkk9zUBrh",NotEyewitness
"Thousands evacuated in Canada floods – in pictures: Widespread flooding in southern Alberta, caused by torrent... http://t.co/JFzvUki9Y9",NotEyewitness
Hoping my love @maddy_shea and all other calgarians are staying safe #abflood #yycflood,Eyewitness
RT @ShawTVCalgary: The Calgary Zoo moved the lions and tigers to cells at the Calgary Court House. Yes - you read that correctly! #yycflood,NotEyewitness
RT @alex_ruiz: Oh Calgary :( -- Before/After Downtown Calgary. 9th Ave SE at 4th St #yycflood  http://t.co/fjNMQvi5sH via @AlainDupere @wea…,Eyewitness
"#yycflood Sunday, June 23 St. Anthony Catholic Church 60th Anniversary Picnic CANCELLED; RETWEET if possible",NotEyewitness
RT @MarkSCScott: Calgary flood from my balcony in Mission. Now - high. #yycflood http://t.co/gCLaBEM5tP,Eyewitness
@Fan960Steinberg build the next arena on higher ground? #Flames #yycflood,NotEyewitness
RT @dinnerwithjulie: Zoo bridge. Yesterday was 5' - just graded it at 12.5' #yycflood http://t.co/t7hVXik6SU,Eyewitness
RT @KaleighRogers: A 15-year-old High River boy is missing due to the flood. Call police if you see Eric St. Denis #abflood #yycflood http:…,Eyewitness
RT @pdriscollTBT: PHOTO: The red circle is the train tunnel into downtown #Calgary. #yycflood http://t.co/5zGG6LOBDD - @christiefaber,Eyewitness
City says there is no concern over drinking water quality at this time; Water supply remains unchanged. #yycflood,NotEyewitness
"MT “@trupermcbride: Cochrane EMS working with regional emrgncy agencies-- NO bridge closures, NO boil water advisory” #abflood",NotEyewitness
Our thoughts are with everyone in Alberta effected by the #yycflood. #staysafe,NotEyewitness
"RT @Metro_Katie: Once again, downtown Calgary will be evacuated as more buildings become compromised by flooding. #yycflood #abflood",NotEyewitness
RT @paygeers_t: You hear about flooding all the time but it's surreal when it's happening at home #yycflood #prayforyyc,Eyewitness
RT @BanffCoffeeHous: #abflood #canmore #volunteers -  The book store on Main Street is flooding &amp; needs volunteers help moving books. Talk …,NotEyewitness
"MT @SUNRenatoGandia: Zoo animals needed to be moved out of the zoo, some in place: not gone to jail as said earlier city #yycflood",Eyewitness
I think we should dub this day Alberta- geddon. Who's with me? #yycflood,Eyewitness
RT @weathernetwork: RT @IrishEagle Before/After Downtown Calgary. 9th Ave SE at 4th St #yycflood #yyc via @AlainDupere: http://t.co/KdiE5Zn…,NotEyewitness
RT @cityofcalgary: For your safety please stay away from all waterways at this time. They can be very dangerous #yycflood,NotEyewitness
Water still rising in the east village... Up to the stairs of orange lifts entrance #Yycflood http://t.co/cBHEvzGwBf,Eyewitness
"RT @alex_ruiz: Oh, that's scary :( RT @jdasilva4 Took soaking wet walk to reservoir. Overflowing, as expected. #yycflood #abflood http://t.…",Eyewitness
@thinkads Can't remember when I've seen so many evacs. Hope everyone is safe on your end #abflood,Eyewitness
RT @wearealberta: A picture from the Stampede Grounds #abflood #yyc http://t.co/Ol5Txrv3j2,Eyewitness
RT @ENMAX: CEMA has directed certain outages in the downtown core. CEMA will advise @ENMAX when it is safe to restore power. #yycflood,NotEyewitness
I hope they got all the animals out of the Calgary Zoo #yycflood,NotEyewitness
"RT @bpincott: @aldjohnmar &amp; I helping to evacuate 125 people from @innfromthecold. No heat, water or power  #yycflood http://t.co/blljZhEw…",Eyewitness
"RT @CalgaryPolice: Please note, Quarry park is flooded and we are not allowing people into that community #yycflood",NotEyewitness
Unbelievable #yycflood “@X929: Water up to Row 14 at Saddledome. #theshow”,Eyewitness
RT @MCCCan: Mennonite Disaster Service is monitoring the #flooding in #Alberta to see how they can respond. To donate go to http://t.co/zfY…,NotEyewitness
RT @waynerama: my feet are in #vancouver but my heart is with #alberta. good vibes and love to those affected by the flood. #mrmrs,NotEyewitness
RT @Maddie_Alvarez: Watching the news right now is like watching a horror film😓#abflood #yycflood,NotEyewitness
RT @cfhorgan: footage of a tree falling into the Bow near Memorial Dr. https://t.co/hmhfcqcDqH #yycflood #abflood,Eyewitness
RT @cityofcalgary: There is NO boil water advisory in place. Our water treatment plans are uncomprimised and quality remains high #yycflood,NotEyewitness
Today was the summer solstice.... #yycflood http://t.co/gCPRPsq7bG,NotEyewitness
"So impressed with how Calgary is handling this flood! Emergency services, city officials, their staff &amp; media are keeping us well informed!",Eyewitness
":( @EITS: Our show at the Sled Island Festival has been cancelled due to flooding. Stay safe, Calgary. #sledisland http://t.co/iuiuyo2Ckr",NotEyewitness
RT @AnaheimDucks: Our thoughts are with the @NHLFlames and everyone affected by the #yycflood! Stay safe!,NotEyewitness
RT @CalgaryPolice: @edmontonpolice arrive in #yyc to offer assistance to the citizens of Calgary. #yycflood Thank you #yeg http://t.co/uJdX…,NotEyewitness
"Western Canada hit by heavy flooding: As many as 100,000 people have fled their homes as heavy floods wash awa... http://t.co/xgGjNeGFCQ",NotEyewitness
Not living in an evacuation are? That's a good thing. #yycflood,NotEyewitness
I would like to see all this craziness. #yycflood,NotEyewitness
@MissLukasha I'm concerned for your safety due to flooding. Hope your ok. I believe your near Calgary. I seen SaddleDome is flooded,NotEyewitness
I am about to fly from #yxe to #yyc. I will be curious to see how horrible the flooding looks from the air. Fingers crossed for #calgary.,Eyewitness
RT @Mookalicious: This pic of an awesome firefighter in Mission needs to go viral.  Please share! #abflood http://t.co/H1YF3RhJZs,NotEyewitness
"RT @LaylaaaaC: We've been seeing floods happen around the world, but once it hits your city it really hits the heart 😕#yycflood #prayforcal…",Eyewitness
RT @allisonjones_cp: Momo news! Cat is safe (so is owner) after watery escape from truck in #yycflood: http://t.co/YleMb0AfFc By @ploriggio…,Eyewitness
RT @Stevethegrunt: Awesome RT @MissSon: This pic of an awesome firefighter in Mission needs 2 go viral.  Pls share! #abflood http://t.co/JZ…,NotEyewitness
"RT @TELUS: RT @tgreenc: Free local, long distance &amp; text mess for evac'd @TELUS customers in #abflood limit calls to keep lines open for 1s…",NotEyewitness
"RT @markusoff: Breanne Waggott catches a fish outside her home in Bridgeland, several blocks from river. #yycflood foraging. http://t.co/FL…",Eyewitness
The floods in Calgary are crazy 😧,Eyewitness
@YMCA_Calgary Glad to see all partners at South Fish Creek Recreation Association coming together to welcome evacuees. #yycflood #staysafe,NotEyewitness
Saw this earlier today by the Curling club...#yycflood http://t.co/qwkggnSauV,Eyewitness
"Stay safe, #yyc friends #abflood",NotEyewitness
RT @DavidSuzukiFDN: Is Alberta Flooding a Sign of Climate Change? http://t.co/4e8hZjB6sC,NotEyewitness
RT @jianghomeshi: Canadian Red Cross has set up a direct way to help out re #Alberta floods. Donate here - https://t.co/quOnhjeO6k #yycfloo…,NotEyewitness
RT @CalgaryPolice: List of current road closures #yycflood #yyc http://t.co/2rlJcWZhie,NotEyewitness
"RT @AP: Flooding forces downtown evacuation of Canadian city of Calgary, forces 75,000 from their homes: http://t.co/yDoqNce7Rw -MM",NotEyewitness
RT @andrewmcintyre: Air shot of the extent of the Zoo flooding: http://t.co/mEAIxyXipl #yyc #yycflood,NotEyewitness
RT @989JetFM: Here's how you can help out our provincial neighbours in #Alberta: http://t.co/dOT2dtoUEm - Matt #abflood,NotEyewitness
"Military to Help Calgary, Southern Alberta Cope With Record Floods: The city of Calgary in the oil-rich provin... http://t.co/cuDaA3zzOv",NotEyewitness
"RT @CIAwesome: Calgary, we love your community spirit, but the best way to help is to stay home and off the roads! #yycflood #abflood #yych…",NotEyewitness
@AlwaysLyndsay check out the City's blog for critical updates on affected areas http://t.co/va1uP2t8ME #yycflood,NotEyewitness
@LisaOstrikoff: RT @cityofcalgary: There is NO boil water advisory in effect. #yyc water quality good #yycflood Yet!,NotEyewitness
RT @DorrieF: “@Mookalicious: This pic of an awesome firefighter in Mission needs to go viral.  Please share! #abflood http://t.co/SMxBv3f7B…,Eyewitness
RT @alex_ruiz: RCMP statement on @CBC news: there may be 4 casualties in High River :( #yycflood #abflood,NotEyewitness
RT @chloeelang: Praying the priddis dam doesn't give out again. 🙏 #staystrong #yycflood,Eyewitness
Insurance companies brace for flood of claims http://t.co/bH5XvUN57Y #abflood #yycflood,NotEyewitness
"The flooding in Calgary right now....unreal. And it all travels east, so fuck.",NotEyewitness
"RT @metrocalgary: Despite a safe water supply, Calgarians flock to stock up on bottled water: http://t.co/77PcdgbxNN #yycflood #abflood",NotEyewitness
RT @CBC_Carla: AMA tells me MOST people with flooded homes will not have insurance since flood insurance doesn't exist for homes in Canada #,NotEyewitness
"Flooding forces evacuation of downtown Calgary, 75,000 residents: Flooding forced the western Canadian city of... http://t.co/C3kslp1zMQ",NotEyewitness
RT @SunDaveDormer: Email from my uncle in LA: All we hear down here is Calgary is flooding and the dumbass anchor said what happens if it…,Eyewitness
"can't stop watching the devastation in Calgary, Canmore and Medicine Hat - my hometown. Stay safe and help your neighbours #yycflood #medhat",Eyewitness
"RT @markeyre: Can you see the car? RT @GlobalCalgary: PHOTO: Macleod Trail under water, courtesy of Jeff Berg. #YYC #yycflood http://t.co/Y…",NotEyewitness
RT @CIAwesome: The Shaw Go WiFi network has been opened to all non Shaw customers in #abflood who need Internet access. #yycflood,NotEyewitness
RT @JGrivel: Disasters like this make you realize the importance of not taking things for granted. #heartbreaking #yycflood #abfloods,NotEyewitness
RT @MapleLeafs: Our thoughts are with the @NHLFlames and everyone in Alberta affected by the #yycflood.,NotEyewitness
RT @31stScouts: Media reports @CanadianArmy Reservists from #Edmonton staging in #RedDeer for deployment to #Canmore #Calgary — #yycFlood #…,NotEyewitness
RT @CBCCalgary: Thanks to Bryce Jablonski for this photo taken in Bridgeland during the #YYCFLOOD #YYC http://t.co/4Yn8qeRZ84,NotEyewitness
RT @vlrny: Due to their lack of space the DI is asking for donations be brought to @NeighbourLink 3751 21st. NE #yycflood #yychelps,NotEyewitness
RT @aldjohnmar: All of Downtown now under evacuation orders. I'm so sorry everyone... #yyc #yyccc #yycflood,Eyewitness
"RT @ctvedmonton: In #yyc. this aft., @pmharper, @Premier_Redford, @nenshi, and @GriffMLA are briefed. http://t.co/2E0sTq9iAJ #yycflood http…",NotEyewitness
Saturdays game against the Okotoks Erratic has been cancelled because of flooding in southern Alberta. No make up date at this time.,NotEyewitness
RT @shoaibtahir1: Only in Canada will volunteers be told they aren't needed... too many volunteers already #bighearts #yycflood #yyc,NotEyewitness
RT @MinisterJono: Out near High River - incredible devastation by the rising waters. #ableg #abflood,NotEyewitness
"About 100,000 people evacuated in southern Alberta. #ABflood",NotEyewitness
"@globaltvnews we are mining Twitter, news/blogs/wikis to help #Alberta floods response here http://t.co/Gpn5W0XZf6 #crisisResponse",NotEyewitness
RT @660News: Reminder: Call 311 for flood-related calls only. Call  911 in case of emergency. #yyc #yycflood,NotEyewitness
Observe this horrible douchebag. RT @HenryMaltin  I swear if my clothes get wrecked from the flood. Im sueing calgary #pissed #hugoboss,Eyewitness
"Airdrie BMX provincial is canceled. I have never seen that happen before, but I agree with their decision #ABflood #Provincial #BMX #Airdrie",NotEyewitness
Convenience stores price gouging? There's a surprise. #yyc #yycflood,Eyewitness
@bpincott addresses the volunteers and staff at the Acadia Rec Centre #yyc #yyccc #yycflood http://t.co/0X0JzNa9mH,NotEyewitness
calgary is pretty close to me praying for the people out there who have been affected by the flood.. crazy,NotEyewitness
Strangers open homes to Calgary flood victims on Kijiji: As shocking photos of the damage done by flooding in... http://t.co/k9A7zbThwv,NotEyewitness
"@settinprecedent why do you care, you're a lawyer... #lowestofthelow #yycflood",NotEyewitness
"RT @kidscbc: If you're stuck in the house today, here is a fun activity to do with the kids http://t.co/26U5flPf16 #yycflood #abflood #yyc",NotEyewitness
RT @paul_dunphy: We're now hearing that the Saddledome  might be half-filled with water. #yyc #abflood,Eyewitness
RT @rap_unzel: Taking advantage of #yycflood http://t.co/XmIyPyKq3x,Eyewitness
"Flooding forces evacuation of downtown Calgary, Canada http://t.co/qa6Kitlz3b",NotEyewitness
“@WilliamShatner: My thoughts and prayers are with the flood victims in Calgary. MBB” #yyc #yycflood,NotEyewitness
"RT @tranbc_ftgeorge: RT @TranBC: If you're looking for info on the flooding in Alberta, follow @AB_EmergAlert, @AMARoadReports and #AbFlood",NotEyewitness
Hearts &amp; thoughts with those impacted by flooding &amp; evacuations in Alberta. Be safe &amp; take care of one another!,NotEyewitness
RT @RedCrossAB: Telus has made it even easier to donate. Text REDCROSS to 30333 to donate $5 in support of #ABfloods #yycflood,NotEyewitness
RT @GlobalCalgary: We are live streaming a special Calgary edition of @GlobalNational right now - http://t.co/tjXEoTHOqP #yycflood #abflood,NotEyewitness
Pls RT 5:36 pm June 21 @LethbridgeCity: Whoop Up and Highway 3 remain open. #yql #abflood,NotEyewitness
Hey @google maybe change today's doodle to show support for southern Alberta's emergency #abflood #yycflood http://t.co/T7OsnZRGKh,NotEyewitness
"RT @patstaron: When this is all said and done, nobody in #YYC should be going to Queensland Liquor ever again. #NoClass #ABflood http://t.c…",Eyewitness
RT @MadelnCanada: Smile. No matter how difficult the situation can be. #abflood http://t.co/7sLdFn1wWF&lt; #TeamCalgary ♥,NotEyewitness
RT @cityofcalgary: South Fish Creek Recreation Complex reception centre is Full. #yyc #yycflood,NotEyewitness
"Riverbend &amp; Douglasdale, I'm headed your way to report on #ABflood for @GlobalCalgary. Tweet to me. #yyc",NotEyewitness
RT @DopeMarcJames: Quite devastating. Please stay safe to everyone affected by the flood in Calgary. #CalgaryStrong http://t.co/BrgydAWsjz,NotEyewitness
i get all the donations and stuff to the #yyc flooding but majority of the people in Calgary who are affected are pretty well off,NotEyewitness
@cbcian live in #calgary right now on #cbnn #yycflood. http://t.co/3J3ejDBvnF,NotEyewitness
RT @Cdn_Puck_Girl: #Saddledome flood waters now up to row 14.  #yycflood #CalgaryFlames http://t.co/TmflatUEmz,Eyewitness
RT@Genevieves: Rogers/Fido customers: make a $5 donation to help those in the affected regions by texting “ABHELP” to 4664 #yycflood #rogers,NotEyewitness
RT @JamesMoore_org: Prime Minister Harper surveying the damage in High River from overhead. #abflood #yycflood http://t.co/b7bfrIyEKX,NotEyewitness
Gaucho Brazilian Barbecue hopes everybody is safe and we're wishing a fast recovery to the Alberta community who were affected by the flood.,NotEyewitness
"RT @Daorcey: Please share: #yyc water still very safe to drink, but please conserve http://t.co/jnSZNDF5xt #yycflood",NotEyewitness
"Really thankful/blessed I don't live in a city where I'm woken up at 2 A.M. to see my backyard floating away. Stay safe, Calgary! #yycflood",NotEyewitness
RT @cityofcalgary: Please RT widely @nenshi - The City asks that Calgarians LIMIT WATER USE as much as possible. Thank you. #yyc #yycflood,NotEyewitness
RT @lburwash: Keep calm and @nenshi on. http://t.co/OdyvCTVGR6 / via @Jody_Robbins  #yycflood,Eyewitness
Thank you everyone who is out there effortlessly working immensely hard to protect us from the @AlbertaFlood #yycflood  #Alberta,Eyewitness
RT @visiglobal: Our hearts go out to those affected by the severe flooding in western Canada. Love and prayers to you from your entire Vísi…,NotEyewitness
if anyone needs a place in the nw area i have a bed available for the next few days. #yycflood,Eyewitness
RT @antonio10jr: It'll take the @NHLFlames forever to empty the Saddledome with only one cup! BAHAHAHA! #YYCflood,Eyewitness
RT @SkipIsChris: Companies like @HomeDepotCanada need a wake up call. Please RT and help spread the word. #abflood #yycflood http://t.co/FX…,NotEyewitness
@ROCKSTUDIO37 Calgary may be flooding. We are streaming live ! #floodisland #highground #albertaflood @TheNobleTheifs http://t.co/L8pAPHWBSm,NotEyewitness
RT @FreeRider_B: @ArjayTaylor: I am in search of my Mother who was evac from #inglewood her name is Theresa Taylor 52yrs old. #yycflood p…,Eyewitness
"RT @TSHowell: Price fixing is illegal under emergency act and individuals could be prosecuted, says city's CEMA director. #yycflood #chlive",NotEyewitness
RT @KirstenWreggitt: RT @mookalicious: This pic of an awesome firefighter in Mission needs to go viral.  Please share! #abflood http://t.co…,Eyewitness
"RT @Dean_Murdoch: And remember if you're goin out to buy emergency flood beers, grab cans cuz them fuckers float. #yycfloods",Eyewitness
Collection of photos from the floods in southern Alberta. Wow: http://t.co/aAmO7luEIl,NotEyewitness
RT @ChoiceZnewZ: Panorama of the Stampede grandstand from above http://t.co/h9sMS7pdt1 RT @TheIdeaFoundry #yycflood #abflood #yyc,NotEyewitness
RT @BillBelsey: Please RT widely @nenshi - The City asks that Calgarians LIMIT WATER USE as much as possible. Thank you. #yyc #yycflood”,NotEyewitness
"Is it odd @pmharper gave props to the #cpc MP's in #YYC before locals like fire, police, mayor, etc? #cdnpoli #abflood #yycflood",NotEyewitness
Thousands flee flooding in western Canada: At least four people are feared dead in Canada’s Alberta Province a... http://t.co/SxcbUlDUGB,NotEyewitness
RT @cityofcalgary: Please RT widely @nenshi - The City asks that Calgarians LIMIT WATE USE as much as possible. Thank you. #yyc #yycflood,NotEyewitness
Don't know what to do during and after a flood? Here are some tips : http://t.co/CXvsoR7AM1 #yycflood,NotEyewitness
